Date,Open,High,Low,Close,Adj Close,Volume
2013-09-05,71.507141,71.525711,70.520004,70.752853,67.927818,59091879
2013-09-06,71.242859,71.339996,69.992859,71.174286,68.332420,89881253
2013-09-09,72.142860,72.559998,71.925713,72.309998,69.422791,85171583
2013-09-10,72.339996,72.492859,69.928574,70.662857,67.841393,185798872
2013-09-11,66.724289,67.669998,66.401428,66.815712,64.147865,224673456
2013-09-12,66.914284,67.914284,66.572861,67.527145,64.830925,101012471
2013-09-13,67.142860,67.404167,66.385712,66.414284,63.762482,74708438
2013-09-16,65.857140,65.944267,63.888573,64.302856,61.735352,137137672
2013-09-17,63.928570,65.672859,63.928570,65.045715,62.448536,99844773
2013-09-18,66.209999,66.621429,65.808571,66.382858,63.732311,114215304
2013-09-19,67.262856,67.975716,67.035713,67.471428,64.777428,101134712
2013-09-20,68.357140,68.364288,66.571426,66.772858,64.106720,174825322
2013-09-23,70.857140,70.987144,68.942856,70.091431,67.292801,190526532
2013-09-24,70.714287,70.781425,69.688576,69.871429,67.081581,91085743
2013-09-25,69.851425,69.948570,68.775726,68.790001,66.043343,79239167
2013-09-26,69.428574,69.794289,69.128571,69.459999,66.686577,59305183
2013-09-27,69.111427,69.238571,68.674286,68.964287,66.210670,57009729
2013-09-30,68.120003,68.808571,67.773003,68.107140,65.387718,65039408
2013-10-01,68.349998,69.877144,68.340141,69.708572,66.925224,88470655
2013-10-02,69.388573,70.257141,69.107140,69.937141,67.144661,72295902
2013-10-03,70.072861,70.335716,68.676956,69.058571,66.301155,80688503
2013-10-04,69.071426,69.228569,68.371429,69.004288,66.249062,64717380
2013-10-07,69.492859,70.378571,69.335716,69.678574,66.896439,78073107
2013-10-08,69.944283,70.091431,68.648575,68.705711,65.962410,72729006
2013-10-09,69.234283,69.684288,68.325714,69.512573,66.737053,75431216
2013-10-10,70.222855,70.339996,69.577141,69.948288,67.155373,69650490
2013-10-11,69.570000,70.548569,69.308571,70.401718,67.590691,66934938
2013-10-14,69.934288,71.082855,69.907143,70.862862,68.033432,65474542
2013-10-15,71.127144,71.714287,70.788574,71.239998,68.395493,80018603
2013-10-16,71.528572,71.790001,71.318573,71.587715,68.729332,62775013
2013-10-17,71.428574,72.111427,71.382858,72.071426,69.193718,63398335
2013-10-18,72.300003,72.751427,72.244286,72.698570,69.795830,72635570
